,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
158,2022-06-09,30487.54,30235.85,30487.54,5105.41253,1861.2,1865.0,1850.7,1060.0,573.0,573.46,572.19,1620.0,3.046,3.073,3.007,26.24,23.82,26.09
159,2022-06-10,30226.79,30042.13,30052.43,4916.72998,1883.9,1887.4,1835.0,2020.0,565.0,567.18,565.0,250.0,3.165,3.178,2.99,29.63,26.05,27.75
160,2022-06-11,29440.41,29251.17,29326.83,3718.77449,,,,,,,,,,,,,,
161,2022-06-12,27677.18,27190.0,27645.89,11845.39168,,,,,,,,,,,,,,
162,2022-06-13,26257.31,24555.0,24811.59,38328.615693,,,,,,,,,,,,,,
163,2022-06-14,23362.88,21763.71,22877.52,43892.53561,1822.4,1841.3,1814.9,6440.0,545.89,546.1,541.61,6250.0,3.479,3.498,3.267,34.0,32.06,32.69
164,2022-06-15,21490.67,20652.18,20722.92,36911.714923,1828.6,1854.0,1817.8,3100.0,543.0,545.8,542.0,680.0,3.292,3.464,3.28,32.77,27.76,29.62
165,2022-06-16,22361.98,21646.64,21764.17,11790.41133,1858.9,1869.0,1825.8,2240.0,539.86,545.0,539.86,1800.0,3.195,3.495,3.178,34.82,30.35,32.95
166,2022-06-17,21286.01,20326.0,21100.64,15684.53285,1849.6,1870.0,1845.3,880.0,524.51,527.42,520.0,760.0,3.231,3.313,3.194,33.31,30.47,31.13
167,2022-06-18,20537.34,19066.8,19258.58,35934.156049,,,,,,,,,,,,,,
168,2022-06-19,18621.57,17960.41,18306.93,16670.95915,,,,,,,,,,,,,,
169,2022-06-20,20258.29,19776.58,20086.63,11823.89634,1838.8,1848.4,1830.7,176300.0,526.5,530.46,526.25,150.0,3.277,3.277,3.277,32.16,30.98,31.03
170,2022-06-21,21333.0,20474.41,21120.28,20989.91077,1847.8,1856.0,1840.0,3730.0,533.7,533.99,529.98,700.0,3.279,3.317,3.258,30.65,29.33,30.19
171,2022-06-22,20595.42,19950.34,20099.62,14132.37133,1847.4,1859.0,1833.6,2540.0,535.6,538.24,535.6,410.0,3.16,3.284,3.124,31.57,28.78,28.95
172,2022-06-23,20657.14,20168.26,20461.83,11026.69488,1838.6,1857.6,1832.4,2550.0,543.02,543.2,539.65,320.0,3.089,3.175,3.005,29.77,28.74,29.05
173,2022-06-24,21168.13,20736.72,20913.72,11245.40104,1839.3,1842.3,1826.7,3380.0,552.09,552.09,546.0,120.0,3.138,3.141,3.039,29.72,26.83,27.23
174,2022-06-25,21614.5,21180.4,21508.13,8974.78284,,,,,,,,,,,,,,
175,2022-06-26,21526.0,21336.96,21396.52,5247.37654,,,,,,,,,,,,,,
176,2022-06-27,21404.52,21142.86,21363.22,7287.10643,1833.9,1851.5,1831.2,1800.0,563.17,569.45,558.82,750.0,3.202,3.219,3.121,28.66,26.93,26.95
177,2022-06-28,20933.0,20703.3,20879.39,6632.57985,1830.3,1839.5,1828.9,2990.0,561.2,562.92,559.66,370.0,3.177,3.259,3.171,28.68,26.47,28.36
178,2022-06-29,20381.1,19889.0,20093.75,15182.30368,1826.5,1843.6,1820.0,1430.0,553.13,553.14,551.2,60.0,3.087,3.187,3.087,29.36,27.85,28.16
179,2022-06-30,20091.15,19310.0,19435.9,15063.43516,1816.3,1835.1,1811.9,2830.0,547.38,553.13,547.38,230.0,3.017,3.108,2.97,30.22,28.28,28.71
180,2022-07-01,19773.71,19315.91,19579.11,19730.02792,1810.4,1822.0,1792.7,3280.0,548.12,548.12,545.0,470.0,2.889,3.028,2.791,29.59,26.69,26.7
181,2022-07-02,19299.0,19112.51,19126.81,6108.63933,,,,,,,,,,,,,,
182,2022-07-03,19400.0,18781.0,19139.74,15809.13628,,,,,,,,,,,,,,
183,2022-07-04,19189.0,19082.92,19120.6,4549.72552,1763.9,1815.2,1763.0,310370.0,555.25,557.22,555.25,1750.0,2.932,2.934,2.93,28.1,27.46,27.53
184,2022-07-05,20470.78,20177.0,20215.69,10783.14938,1772.8,1823.9,1772.0,2660.0,556.73,557.96,555.25,280.0,2.818,2.978,2.78,29.82,27.3,27.54
185,2022-07-06,20337.84,19864.45,20162.22,14768.32563,1745.1,1779.4,1739.4,4850.0,561.61,561.93,559.85,80.0,2.934,2.935,2.746,28.07,26.43,26.73
186,2022-07-07,20493.72,20251.68,20440.01,7289.74695,1748.3,1756.6,1744.5,2880.0,563.91,565.9,562.52,360.0,3.0,3.017,2.897,26.79,25.66,26.08
187,2022-07-08,22242.29,21710.56,21797.64,11522.56833,1750.9,1760.2,1734.8,6630.0,567.75,568.65,566.82,160.0,3.08,3.101,2.967,26.61,24.43,24.64
188,2022-07-09,21728.63,21485.82,21654.72,28825.24637,,,,,,,,,,,,,,
189,2022-07-10,21373.48,21161.36,21338.12,29088.18041,,,,,,,,,,,,,,
190,2022-07-11,20606.11,20353.72,20439.91,18882.53702,1740.3,1751.3,1737.6,6750.0,567.0,567.59,566.0,310.0,2.993,3.103,2.967,26.74,25.79,26.17
191,2022-07-12,20059.42,19620.0,19730.99,25109.26736,1733.4,1747.5,1730.2,5710.0,568.09,571.0,567.98,200.0,2.971,2.989,2.899,27.75,25.82,27.29
192,2022-07-13,19875.0,19420.0,19705.25,18898.47892,1744.0,1752.3,1713.1,5400.0,563.19,564.7,563.1,170.0,2.935,3.071,2.899,29.06,26.23,26.82
193,2022-07-14,20276.9,19894.76,19990.72,24237.32324,1714.5,1741.2,1703.8,5760.0,558.8,559.79,558.42,1790.0,2.958,3.028,2.911,28.45,26.2,26.4
194,2022-07-15,20936.0,20494.29,20835.38,21753.08143,1711.6,1722.8,1705.5,2930.0,562.93,563.07,561.0,70.0,2.928,2.973,2.899,26.72,24.13,24.23
195,2022-07-16,20764.83,20478.61,20546.18,14599.27645,,,,,,,,,,,,,,
196,2022-07-17,21684.54,21231.01,21467.61,19318.5362,,,,,,,,,,,,,,
197,2022-07-18,22400.0,21170.01,22245.93,48396.16981,1717.7,1729.6,1712.1,5880.0,568.62,568.8,566.23,240.0,2.989,3.019,2.911,25.91,24.38,25.3
198,2022-07-19,22133.89,21579.54,21764.88,35837.62027,1718.0,1723.7,1710.6,5090.0,558.8,562.97,558.8,520.0,3.028,3.038,2.956,25.41,24.23,24.5
199,2022-07-20,23864.15,23303.43,23381.18,30902.98687,1707.7,1719.9,1698.0,4850.0,569.84,571.01,569.38,1820.0,3.03,3.042,2.943,24.73,23.4,23.88
200,2022-07-21,23099.51,22638.53,22931.56,26511.16775,1721.1,1726.8,1686.3,7290.0,571.3,573.01,571.22,160.0,2.882,3.083,2.871,24.67,22.92,23.11
201,2022-07-22,23320.0,22805.89,23118.79,23234.33239,1735.0,1745.3,1719.5,7710.0,575.33,575.54,573.63,440.0,2.754,2.904,2.732,23.81,22.41,23.03
202,2022-07-23,23000.77,22675.12,22770.52,18934.41428,,,,,,,,,,,,,,
203,2022-07-24,22839.99,22257.15,22701.6,20882.52765,,,,,,,,,,,,,,
204,2022-07-25,22002.62,21737.82,21962.33,22588.79451,1727.1,1742.0,1720.8,6090.0,570.97,573.13,570.97,910.0,2.807,2.845,2.772,24.57,23.19,23.36
205,2022-07-26,21272.21,21017.21,21066.86,21997.35143,1726.0,1733.9,1720.0,10320.0,566.95,567.73,565.32,520.0,2.803,2.81,2.707,25.31,23.82,24.69
206,2022-07-27,21451.33,21059.0,21347.36,22842.73152,1728.0,1748.0,1717.5,17570.0,568.69,569.08,566.71,290.0,2.785,2.82,2.723,24.41,23.02,23.24
207,2022-07-28,23273.81,22887.0,22925.1,25279.95507,1769.2,1774.4,1750.4,192860.0,572.71,573.42,572.69,150.0,2.671,2.827,2.649,23.54,22.22,22.33
208,2022-07-29,24442.66,23820.27,23943.26,30517.851,1781.8,1784.6,1768.4,140670.0,583.45,584.47,582.81,370.0,2.658,2.728,2.618,22.16,21.21,21.33
209,2022-07-30,23914.0,23650.0,23880.76,16225.66452,,,,,,,,,,,,,,
210,2022-07-31,23842.2,23670.0,23713.1,14787.67259,,,,,,,,,,,,,,
211,2022-08-01,23425.0,23112.0,23322.05,18881.81214,1787.7,1792.5,1774.3,133740.0,586.9,588.93,586.9,260.0,2.588,2.696,2.575,23.27,22.26,22.84
212,2022-08-02,22937.5,22715.61,22887.8,19556.90887,1789.7,1805.0,1776.0,174170.0,587.7,587.7,582.75,430.0,2.748,2.774,2.516,24.68,22.67,23.93
213,2022-08-03,23074.86,22802.0,22989.96,16328.70249,1776.4,1789.4,1770.0,151730.0,590.0,592.14,589.75,1100.0,2.706,2.851,2.699,23.92,21.68,21.95
